no,co,cl,tb,s,l,r,b,lr,rr,br,hh,ha,hs,he,ci,cw,re,la,pl,u1,u2,u3,le,sa,mw,t,pr,d,n,i,v,nx,rp,u,f,ra,h,si
1.053,1,053,False,"['r', 'l']","[[[[3, 3], [63, 3]], '3-270']]","[[[[104, 2]], '5-217'], [[[100, 2]], '5-217'], [[[102, 2]], '5-217']]",[],['MW9.30-11'],"['R3', 'R1', 'R2']",[],False,False,False,False,False,False,True,False,False,4,1,7,U,2.003,,"['FA', 'SP']",Physics II (GIR); [2.087 or 18.03],Introduction to the dynamics and vibrations of lumped-parameter models of mechanical systems. Kinematics. Force-momentum formulation for systems of particles and rigid bodies in planar motion. Work-energy concepts.  Virtual displacements and virtual work. Lagrange's equations for systems of particles and rigid bodies in planar motion. Linearization of equations of motion. Linear stability analysis of mechanical systems. Free and forced vibration of linear multi-degree of freedom models of mechanical systems; matrix eigenvalue problems.,Dynamics and Control I,"Peacock, Thomas",False,False,False,,True,5.3,9.8,92.2
1.056,1,056,False,"['b', 'l']","[[[[3, 3], [63, 3]], '3-333']]",[],"[[[[124, 4]], '5-233']]",['MW9.30-11'],[],['F10-12'],False,False,False,False,False,False,True,False,False,3,3,6,U,4.440,4.462,['SP'],Calculus II (GIR),"Introduces the design and behavior of large-scale structures and structural materials. Emphasizes the development of structural form and the principles of structural design. Presents design methods for timber, masonry, concrete and steel applied to long-span roof systems, bridges, and high-rise buildings. Includes environmental assessment of structural systems and materials. In laboratory sessions, students solve structural problems by building and testing simple models. Graduate and undergraduate students have separate lab sections.",Introduction to Structural Design,"Ochsendorf, John",False,False,False,,False,3.5,10.4,35.5
1.060,1,060,False,"['l', 'b']","[[[[4, 2], [64, 2], [124, 2]], '1-132']]",[],"[[[[34, 4]], '1-132'], [[[133, 4]], '1-132']]",['MWF10'],[],"['T10-12', 'F2.30-4.30']",False,False,False,False,False,False,False,False,False,4,2,6,U,,,['SP'],None,"Mechanics principles for incompressible fluids. Review of hydrostatics. Conservation of mass, momentum and energy in fluid mechanics. Flow nets, velocity distributions in laminar and turbulent flows, groundwater flows. Momentum and energy principles in hydraulics, with emphasis on open channel flow and hydraulic structures. Drag and lift forces. Analysis of pipe systems, pumps and turbines. Gradually varied flow in open channels, significance of the Froude number, backwater curves and kinematic waves. Application of principles through open-ended studio exercises. Meets with 1.060A first half of term.",Fluid Mechanics,"Marelli, Benedetto",False,False,False,,True,0,0,0
1.060A,1,060A,False,"['b', 'l']","[[[[4, 2], [64, 2], [124, 2]], '1-132']]",[],"[[[[34, 4]], '1-132'], [[[133, 4]], '1-132']]",['MWF10'],[],"['T10-12', 'F2.30-4.30']",False,False,False,False,False,False,False,False,False,2,1,3,U,,,['SP'],[18.03]; or permission of instructor,"Mechanics principles for incompressible fluids. Review of hydrostatics. Conservation of mass, momentum and energy in fluid mechanics. Flow nets, velocity distributions in laminar and turbulent flows, groundwater flows. Momentum and energy principles in hydraulics, with emphasis on open channel flow and hydraulic structures. Meets with 1.060 in first half of term.",Fluid Mechanics I,"Marelli, Benedetto",False,False,False,,True,5.2,9.8,14.5
1.062,1,062,False,['l'],"[[[[36, 3], [96, 3]], '2-143']]",[],[],['TR11-12.30'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,U,"12.207, 18.354",18.3541,['SP'],Physics II (GIR) and (18.03 or 18.032),"General mathematical principles of continuum systems. From microscopic to macroscopic descriptions in the form of linear or nonlinear (partial) differential equations. Exact solutions, dimensional analysis, calculus of variations and singular perturbation methods. Stability, waves and pattern formation in continuum systems. Subject matter illustrated using natural fluid and solid systems found, for example, in geophysics and biology.",Nonlinear Dynamics: Continuum Systems,"Kodio, Ousmane",False,False,False,,False,6.1,10.2,11.5
1.063,1,063,False,['l'],"[[[[15, 3], [75, 3]], '1-371']]",[],[],['MW3.30-5'],[],[],False,False,False,False,False,False,False,False,False,3,3,6,U,,"1.631, 2.250, HST.537",['SP'],18.03 or permission of instructor,"Designed for students in engineering and the quantitative sciences who want to explore applications of mathematics, physics and fluid dynamics to infectious diseases and health; and for students in epidemiology, environmental health, ecology, medicine, and systems modeling seeking to understand physical and spatial modeling, and the role of fluid dynamics and physical constraints on infectious diseases and pathologies. The first part of the class reviews modeling in epidemiology and data collection, and highlights concepts of spatial modeling and heterogeneity. The remainder highlights multi-scale dynamics, the role of fluids and fluid dynamics in physiology, and pathology in a range of infectious diseases. The laboratory portion entails activities aimed at integrating applied learning with theoretical concepts discussed in lectures and covered in problem sets. Students taking graduate version complete additional assignments.",Fluids and Diseases,"Bourouiba, Lydia",False,False,False,,False,6.1,9.9,8.0
1.067,1,067,False,['l'],"[[[[36, 3], [96, 3]], '1-135']]",[],[],['TR11-12.30'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,U,"10.421, IDS.065","1.670, 10.621, IDS.521",['SP'],"(Calculus I (GIR), Chemistry (GIR), and Physics I (GIR)) or permission of instructor","Reviews the contributions of energy systems to global greenhouse gas emissions, and the levers for reducing those emissions. Lectures and projects focus on evaluating energy systems against climate policy goals, using performance metrics such as cost, carbon intensity, and others. Student projects explore pathways for realizing emissions reduction scenarios. Projects address the climate change mitigation potential of energy technologies&nbsp;(hardware and software), technological and behavioral change trajectories, and technology and policy portfolios. Background in energy systems strongly recommended. Students taking the graduate version complete additional assignments and explore the subject in greater depth. Preference to students in the Energy Studies or Environment and Sustainability minors.",Energy Systems for Climate Change Mitigation,"Trancik, Jessika",False,False,False,,False,0,0,0
1.080,1,080,False,"['r', 'l']","[[[[10, 3], [130, 3]], '48-308']]","[[[[133, 2]], '48-308']]",[],['MF1-2.30'],['F2.30'],[],False,False,False,False,False,False,False,False,False,4,0,8,U,,,['SP'],Chemistry (GIR),"Introduces environmental chemistry with a focus on using thermodynamics to understand processes governing chemical behaviors in natural and engineered systems. Topics include vaporization, gas-solution partitioning, salt and mineral dissolution/precipitation, acid-base chemistry, metal complexation, adsorption via ion exchange, and absorption within natural organic matter and organism tissues. Process formulations are combined in box models to compare with observations. Covers intermediate topics in environmental chemistry requiring kinetics to understand processes governing biogeochemical behaviors in natural and engineered systems. Topics include atmospheric oxidations, radiochemistry, mass transfers, and catalysis. Combines an introduction to geochemical modeling, using transport and transformation process formulations in chemical fate models, to compare with observations of concentrations as a function of space and time.",Environmental Chemistry,"De Vera, Glen Andrew",False,False,False,,False,0,0,0
1.081,1,081,False,['l'],"[[[[40, 3], [100, 3]], '56-162']]",[],[],['TR1-2.30'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,U,20.104,,['SP'],"Biology (GIR), Calculus II (GIR), and Chemistry (GIR)","Analysis of the history of cancer and vascular disease mortality rates in predominantly European- and African-American US cohorts, 1895-2016, to discover specific historical shifts. Explored in terms of contemporaneously changing environmental risk factors: air-, food- and water-borne chemicals; subclinical infections; diet and lifestyles. Special section on occupational risk factors. Considers the hypotheses that genetic and/or environmental factors affect metakaryotic stem cell mutation rates in fetuses and juveniles and/or their growth rates of preneoplastic in adults.","Environmental Cancer Risks, Prevention, and Therapy","Thilly, William",False,False,False,,False,6.5,12.5,2.0
1.082,1,082,False,['l'],"[[[[14, 4]], '66-148'], [[[44, 4]], '66-148'], [[[82, 4]], '2-151'], [[[74, 4]], '66-148']]",[],[],"['M3-5', 'T3-5', 'W EVE (7-9 PM)', 'W3-5']",[],[],False,False,False,False,False,False,False,False,False,2,0,4,U,,"6.9041, 20.005","['FA', 'SP']",None,"Explores the ethical principles by which an engineer ought to be guided. Integrates foundational texts in ethics with case studies illustrating ethical problems arising in the practice of engineering. Readings from classic sources including Aristotle, Kant, Locke, Bacon, Franklin, Tocqueville, Arendt and King. Case studies include articles and films that address engineering disasters, safety, biotechnology, the internet and AI, and the ultimate scope and aims of engineering. Different sections may focus on themes, such as AI or biotechnology. Students taking independent inquiry version 6.9041 will expand the scope of their term project. Students taking 20.005 focus their term project on a problem in biological engineering in which there are intertwined ethical and technical issues.",Ethics for Engineers,"Lauffenburger, Douglas",False,False,False,,False,6.2,5.7,56.2
1.088,1,088,False,['l'],"[[[[33, 3], [93, 3]], '5-134']]",[],[],['TR9.30-11'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,U,,"1.881, HST.538",['SP'],Biology (GIR) and (1.000 or 6.0002),"Provides a thorough introduction to the forces driving infectious disease evolution, practical experience with bioinformatics and computational tools, and discussions of current topics relevant to public health. Topics include mechanisms of genome variation in bacteria and viruses, population genetics, outbreak detection and tracking, strategies to impede the evolution of drug resistance, emergence of new disease, and microbiomes and metagenomics. Discusses primary literature and computational assignments. Students taking graduate version complete additional assignments.",Genomics and Evolution of Infectious Disease,"Lieberman, Tami",False,False,False,,False,0,0,0
1.089,1,089,False,['l'],"[[[[33, 3], [93, 3]], '48-308']]",[],[],['TR9.30-11'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,U,,1.89,['SP'],Biology (GIR),"Provides a general introduction to the diverse roles of microorganisms in natural and artificial environments. Topics include energetics and growth, evolution and gene flow, population and community dynamics, water and soil microbiology, biogeochemical cycling, and microorganisms in biodeterioration and bioremediation. 7.014 recommended as prerequisite; students taking graduate version complete additional assignments.",Earth's Microbiomes,"Cordero Sanchez, Otto",False,False,False,,False,6.0,6.9,12.5
1.102,1,102,False,"['l', 'b']","[[[[34, 2]], '1-050']]",[],"[[[[92, 6]], '1-050']]",['T10'],[],['R9-12'],False,False,False,False,False,False,False,False,True,1,3,2,U,,,['SP'],1.101 and (Physics II (GIR) or [1.060]),"Project-oriented subject focused on the principles and practice of engineering design. Emphasis on construction and deployment of designs, plus performance testing used to determine if designs behave as expected. Includes a major team project involving use and application of sensors, as well as environmentally-friendly, and energy-effective or energy-producing designs. Develops practical, teamwork and communication skills. Satisfies 6 units of Institute Laboratory credit. Enrollment limited; preference to Course 1 majors and minors.",Introduction to Civil and Environmental Engineering Design II,"Masic, Admir",False,False,False,,False,5.1,8.0,10.0
1.107,1,107,False,"['b', 'l']","[[[[70, 2]], '48-308']]",[],"[[[[72, 6]], '48-109']]",['W1'],[],['W2-5'],False,False,False,False,False,False,False,False,True,0,4,2,U,,,['SP'],[1.080],"Laboratory and field techniques in environmental engineering and its application to the understanding of natural and engineered ecosystems. Exercises involve data collection and analysis covering a range of topics, spanning all major domains of the environment (air, water, soils, and sediments), and using a number of modern environmental analytical techniques. Instruction and practice in written and oral communication provided. Concludes with a student-designed final project, which is written up in the form of a scientific manuscript. Satisfies 6 units of Institute Laboratory credit. Enrollment limited; preference to 1-ENG.",Environmental Chemistry Laboratory,"Getzinger, Gordon",False,False,False,,False,5.5,8.0,6.0
1.142,1,142,False,"['l', 'r']","[[[[16, 3], [76, 3]], 'E51-315']]","[[[[126, 2]], 'E51-345']]",[],['MW4-5.30'],['F11'],[],False,False,False,False,False,False,False,False,False,4,0,8,G,15.094,,['SP'],18.06 or permission of instructor,"Introduces modern robust optimization, including theory, applications, and computation. Presents formulations and their connection to probability, information and risk theory for conic optimization (linear, second-order, and semidefinite cones) and integer optimization. Application domains include analysis and optimization of stochastic networks, optimal mechanism design, network information theory, transportation, pattern classification, structural and engineering design, and financial engineering. Students formulate and solve a problem aligned with their interests in a final project.","Robust Modeling, Optimization, and Computation","Bertsimas, Dimitris",False,False,False,,False,6.1,10.8,33.0
1.202,1,202,False,"['r', 'l']","[[[[10, 3], [70, 3]], '2-105']]","[[[[126, 2]], '5-217']]",[],['MW1-2.30'],['F11'],[],False,False,False,False,False,False,False,False,False,3,3,6,G,,,['SP'],None,"Theory and application of modeling and statistical methods for analysis and forecasting of demand for facilities, services, and products. Topics include: review of probability and statistics, estimation and testing of linear regression models, theory of individual choice behavior, derivation, estimation, and testing of discrete choice models, estimation under various sample designs and data collection methods (including revealed and stated preferences), sampling, aggregate and disaggregate forecasting methods, iterative proportional fitting, and related methods. Introductions to advanced topics are covered including Bayesian estimation and combining discrete choice analysis and machine learning. Lectures reinforced with case studies, which require specification, estimation, testing, and analysis of models using data sets from actual applications.&nbsp;Lab hours are for workbook case studies.",Demand Modeling,"Ben-Akiva, Moshe",False,False,False,,True,5.2,14.1,16.0
1.233,1,233,False,['l'],"[[[[10, 3], [70, 3]], '33-418']]",[],[],['MW1-2.30'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,16.763,,['SP'],"6.431, 15.093, 16.71, or permission of instructor","Presents a unified view of advanced quantitative analysis and optimization techniques applied to the air transportation sector. Considers the problem of operating and managing the aviation sector from the perspectives of the system operators (e.g., the FAA), the airlines, and the resultant impacts on the end-users (the passengers). Explores models and optimization approaches to system-level problems, airline schedule planning problems, and airline management challenges. Term paper required.",Air Transportation Operations Research,"Balakrishnan, Hamsa",False,True,False,,False,6.4,9.7,11.0
1.251,1,251,False,['l'],"[[[[3, 3], [63, 3]], '9-255']]",[],[],['MW9.30-11'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,11.526,,['SP'],Permission of instructor,"Focuses on the integration of land use and transportation planning, drawing from cases in both industrialized and developing countries. Reviews underlying theories, analytical techniques, and the empirical evidence of the land use-transportation relationship at the metropolitan, intra-metropolitan, and micro-scales.  Also covers the various ways of measuring urban structure, form, and the ""built environment.""  Develops students' skills to assess relevant policies, interventions and impacts.",Comparative Land Use and Transportation Planning,"Duarte De Araujo Silva, Fabio",False,False,False,,False,4.7,10.2,21.0
1.261,1,261,False,['l'],"[[[[40, 3], [100, 3]], 'E52-164']]",[],[],['TR1-2.30'],[],[],False,False,False,False,False,False,False,False,False,2,0,4,G,"15.771, SCM.261",,['SP'],Permission of instructor,"A combination of lectures and cases covering the strategic, management, and operating issues in contemporary logistics and integrated supply chain management. Includes: logistics strategy; supply chain restructuring and change management; and distribution, customer service, and inventory policy.",Case Studies in Logistics and Supply Chain Management,"Byrnes, Jonathan",False,False,False,,False,6.5,7.2,32.0
1.263,1,263,False,['l'],"[[[[34, 3], [94, 3]], 'E51-057']]",[],[],['TR10-11.30'],[],[],False,False,False,False,False,False,False,False,False,2,0,4,G,"11.263, SCM.293",,['SP'],SCM.254 or permission of instructor,"Explores specific challenges of urban last-mile B2C and B2B distribution in both industrialized and emerging economies. Develops an in-depth understanding of the perspectives, roles, and decisions of all relevant stakeholder groups, from consumers to private sector decision makers and public policy makers. Discusses the most relevant traditional and the most promising innovating operating models for urban last-mile distribution. Introduces applications of the essential quantitative methods for the strategic design and tactical planning of urban last-mile distribution systems, including optimization and simulation. Covers basic facility location problems, network design problems, single- and multi-echelon vehicle routing problems, as well as associated approximation techniques.&nbsp;Requires intermediate coding skills in Python and independent quantitative analyses Python.",Urban Last-Mile Logistics,"Winkenbach, Matthias",False,False,False,,False,4.8,9.4,39.0
1.266,1,266,False,['l'],"[[[[92, 6]], 'E51-057']]",[],[],['R9-12'],[],[],False,False,False,False,False,False,False,False,False,2,0,4,G,,,['SP'],15.761 or SCM.260,"Focuses on effective supply chain and demand analytics for companies that operate globally, with emphasis on how to plan and integrate supply chain components into a coordinated system. Exposes students to concepts, models and machine learning, and optimization-based algorithms important in supply chain planning, with emphasis on supply chain segmentation, inventory optimization, supply and demand coordination, supply chain resiliency, and flexibility.",Supply Chain and Demand Analytics,"Simchi-Levi, David",False,False,False,,False,0,0,0
1.267,1,267,False,['l'],"[[[[130, 5]], 'E51-057']]",[],[],['F1-3.30'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,,,['SP'],None,"Focuses on applications of machine learning methods, combined with OR techniques, to study a variety of operational problems &mdash; from supply chain through revenue management all the way to healthcare management. The class will bring together two different disciplines, Operations Research and Computer Science, to develop both theory and effective techniques for dealing with operational problems.",Statistical Learning in Operations,"Simchi-Levi, David",False,True,False,,False,0,0,0
1.27,1,27,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'SU', 'SP']",Permission of instructor,"Individual advanced study of a topic in transportation systems, selected with the approval of the instructor.",Studies in Transportation,"Wilson, Nigel",True,False,True,,False,0,0,0
1.273,1,273,False,['l'],"[[[[31, 3], [91, 3]], 'E51-149'], [[[1, 3], [61, 3]], 'E51-345']]",[],[],"['TR8.30-10', 'MW8.30-10']",[],[],False,False,False,False,False,False,False,False,False,2,0,4,G,"15.762, IDS.735",,['SP'],15.761 or SCM.260,"Focuses on effective supply chain strategies for companies that operate globally, with emphasis on how to plan and integrate supply chain components into a coordinated system. Students are exposed to concepts and models important in supply chain planning with emphasis on key tradeoffs and phenomena. Introduces and utilizes key tactics such as risk pooling and inventory placement, integrated planning and collaboration, and information sharing. Lectures, computer exercises, and case discussions introduce various models and methods for supply chain analysis and optimization. Recommended for Operations Management concentrators. First half-term subject.",Supply Chain: Inventory Analytics,"Willems, Sean",False,False,False,,False,5.7,7.8,107.0
1.274,1,274,False,['l'],"[[[[1, 3], [61, 3]], 'E51-345']]",[],[],['MW8.30-10'],[],[],False,False,False,False,False,False,False,False,False,2,0,4,G,"15.763, IDS.736",,['SP'],"15.761, 15.778, or SCM.260","Focuses on decision making for system design, as it arises in manufacturing systems and supply chains. Students exposed to frameworks and models for structuring the key issues and trade-offs. Presents and discusses new opportunities, issues and concepts introduced by the internet and e-commerce. Introduces various models, methods and software tools for logistics network design, capacity planning and flexibility, make-buy, and integration with product development. Industry applications and cases illustrate concepts and challenges. Recommended for Operations Management concentrators. Second half-term subject.",Supply Chain: Capacity Analytics,"Willems, Sean",False,False,False,,False,4.9,7.4,70.0
1.275,1,275,False,['l'],"[[[[34, 6]], '3-133']]",[],[],['T10-1'],[],[],False,False,False,False,False,False,False,False,False,2,0,4,G,IDS.305,,['SP'],Permission of instructor,"Provides instruction on identifying, evaluating, and capturing business analytics opportunities that create value. Also provides basic instruction in analytics methods and case study analysis of organizations that successfully deployed these techniques.",Business and Operations Analytics,"Simchi-Levi, David",False,False,False,,False,6.0,8.2,26.0
1.322,1,322,False,['l'],"[[[[10, 2], [70, 2], [130, 2]], '1-371']]",[],[],['MWF1'],[],[],False,False,False,False,False,False,False,False,False,4,0,8,G,,,['SP'],1.361,"Detailed study of soil properties with emphasis on interpretation of field and laboratory test data and their use in soft-ground construction engineering. Includes: consolidation and secondary compression; basic strength principles; stress-strain strength behavior of clays, emphasizing effects of sample disturbance, anisotropy, and strain rate; strength and compression of granular soils; and engineering properties of compacted soils. Some knowledge of field and laboratory testing assumed; 1.37 desirable.",Soil Behavior,"Whittle, Andrew",False,True,False,,False,6.5,11.0,4.0
1.383,1,383,False,['l'],"[[[[32, 3], [92, 3]], '1-371']]",[],[],['TR9-10.30'],[],[],False,False,False,False,False,False,False,False,False,3,0,6,G,,,['SP'],"1.361, 1.38, or permission of instructor","Provides familiarization with the most important aspects of planning, analysis, design, and construction of underground  structures in soil and rock. Covers detailed engineering analysis and design, and major aspects of construction techniques and construction planning. Discusses general planning and economic problems. Includes a major design project involving all aspects of underground construction.",Underground Construction,"Einstein, Herbert",False,True,False,,False,7.0,13.5,4.0
1.39,1,39,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'SU', 'SP']",Permission of instructor,For graduate students desiring further individual study of topics in geotechnical engineering.,Independent Study in Geotechnical Engineering,"Whittle, Andrew",True,False,True,,False,0,0,0
1.472,1,472,False,['l'],"[[[[46, 3], [106, 3]], '9-354']]",[],[],['TR4-5.30'],[],[],False,False,False,False,False,False,False,False,False,2,0,4,G,11.344,,['SP'],None,"Develops a strong strategic understanding of how best to deliver various types of projects in the built environment. Examines the compatibility of various project delivery methods, consisting of organizations, contracts, and award methods, with certain types of projects and owners. Six methods examined: traditional general contracting; construction management; multiple primes; design-build; turnkey; and build-operate-transfer. Includes lectures, case studies, guest speakers, and a team project to analyze a case example.",Innovative Project Delivery in the Public and Private Sectors,"Gordon, Christopher",False,False,False,,False,6.8,5.8,29.5
1.535,1,535,False,"['b', 'l']","[[[[6, 2], [66, 2], [126, 2]], '1-273']]",[],"[[[[42, 6]], '1-050']]",['MWF11'],[],['T2-5'],False,False,False,False,False,False,False,False,False,3,2,7,G,,1.035,['SP'],1.050 or permission of instructor,"Introduces the structure and properties of natural and manufactured building materials, including rheology elasticity, fracture mechanics, viscoelasticity and plasticity. Emphasizes effects of molecular and nanoscopic structure, and interactions on macroscopic material behavior. Focuses on design of natural and structural materials. Discusses material aspects of sustainable development. Presents principles of experimental characterization techniques. Explores microscopic and macroscopic mechanical approaches to characterize structure and properties of materials. In laboratory and in-field sessions, students design and implement experimental approaches to characterize natural and building materials and study their interaction with the environment. Students taking graduate version complete additional assignments.",Mechanics of Materials,"Ulm, Franz-Josef",False,False,False,,True,5.7,9.4,10.0
